Serial Number,Area Name,Number Of Duties,Days,Time
1967,Banashankari,104,Friday,22:00 to 23:00
1968,Banashankari,74,Friday,23:00 to 00:00
1969,Banashankari,140,Saturday,00:00 to 01:00
1970,Banashankari,104,Saturday,01:00 to 02:00
1971,Banashankari,147,Saturday,02:00 to 03:00
1972,Banashankari,106,Saturday,03:00 to 04:00
1973,Banashankari,65,Saturday,04:00 to 05:00
1974,Banashankari,84,Saturday,05:00 to 06:00
1975,Banashankari,65,Saturday,06:00 to 07:00
1976,Banashankari,84,Saturday,07:00 to 08:00
1977,Banashankari,81,Saturday,08:00 to 09:00
1978,Banashankari,80,Saturday,09:00 to 10:00
1979,Banashankari,114,Saturday,10:00 to 11:00
1980,Banashankari,121,Saturday,11:00 to 12:00
1981,Banashankari,81,Saturday,12:00 to 13:00
1982,Banashankari,81,Saturday,13:00 to 14:00
1983,Banashankari,80,Saturday,14:00 to 15:00
1984,Banashankari,107,Saturday,15:00 to 16:00
1985,Banashankari,112,Saturday,16:00 to 17:00
1986,Banashankari,84,Saturday,17:00 to 18:00
1987,Banashankari,80,Saturday,18:00 to 19:00
1988,Banashankari,72,Saturday,19:00 to 20:00
1989,Banashankari,108,Saturday,20:00 to 21:00
1990,Banashankari,80,Saturday,21:00 to 22:00
1991,Banashankari,104,Saturday,22:00 to 23:00
1992,Banashankari,99,Saturday,23:00 to 00:00
1993,Banashankari,122,Sunday,00:00 to 01:00
1994,Banashankari,127,Sunday,01:00 to 02:00
1995,Banashankari,127,Sunday,02:00 to 03:00
1996,Banashankari,100,Sunday,03:00 to 04:00
1997,Banashankari,79,Sunday,04:00 to 05:00
1998,Banashankari,93,Sunday,05:00 to 06:00
1999,Banashankari,92,Sunday,06:00 to 07:00
2000,Banashankari,107,Sunday,07:00 to 08:00
2001,Banashankari,110,Sunday,08:00 to 09:00
2002,Banashankari,90,Sunday,09:00 to 10:00
2003,Banashankari,101,Sunday,10:00 to 11:00
2004,Banashankari,103,Sunday,11:00 to 12:00
2005,Banashankari,91,Sunday,12:00 to 13:00
2006,Banashankari,97,Sunday,13:00 to 14:00
2007,Banashankari,80,Sunday,14:00 to 15:00
2008,Banashankari,102,Sunday,15:00 to 16:00
2009,Banashankari,117,Sunday,16:00 to 17:00
2010,Banashankari,96,Sunday,17:00 to 18:00
2011,Banashankari,100,Sunday,18:00 to 19:00
2012,Banashankari,97,Sunday,19:00 to 20:00
2013,Banashankari,95,Sunday,20:00 to 21:00
2014,Banashankari,71,Sunday,21:00 to 22:00
2015,Banashankari,143,Sunday,22:00 to 23:00
2016,Banashankari,114,Sunday,23:00 to 00:00
2017,BTM Layout,66,Monday,00:00 to 01:00
2018,BTM Layout,60,Monday,01:00 to 02:00
2019,BTM Layout,87,Monday,02:00 to 03:00
2020,BTM Layout,57,Monday,03:00 to 04:00
2021,BTM Layout,75,Monday,04:00 to 05:00
2022,BTM Layout,114,Monday,05:00 to 06:00
2023,BTM Layout,109,Monday,06:00 to 07:00
2024,BTM Layout,70,Monday,07:00 to 08:00
2025,BTM Layout,120,Monday,08:00 to 09:00
2026,BTM Layout,146,Monday,09:00 to 10:00
2027,BTM Layout,147,Monday,10:00 to 11:00
2028,BTM Layout,118,Monday,11:00 to 12:00
2029,BTM Layout,109,Monday,12:00 to 13:00
2030,BTM Layout,109,Monday,13:00 to 14:00
2031,BTM Layout,104,Monday,14:00 to 15:00
2032,BTM Layout,86,Monday,15:00 to 16:00
2033,BTM Layout,94,Monday,16:00 to 17:00
2034,BTM Layout,131,Monday,17:00 to 18:00
2035,BTM Layout,165,Monday,18:00 to 19:00
2036,BTM Layout,136,Monday,19:00 to 20:00
2037,BTM Layout,101,Monday,20:00 to 21:00
2038,BTM Layout,102,Monday,21:00 to 22:00
2039,BTM Layout,93,Monday,22:00 to 23:00
2040,BTM Layout,84,Monday,23:00 to 00:00
2041,BTM Layout,53,Tuesday,00:00 to 01:00
2042,BTM Layout,85,Tuesday,01:00 to 02:00
2043,BTM Layout,58,Tuesday,02:00 to 03:00
2044,BTM Layout,52,Tuesday,03:00 to 04:00
2045,BTM Layout,88,Tuesday,04:00 to 05:00
2046,BTM Layout,111,Tuesday,05:00 to 06:00
2047,BTM Layout,119,Tuesday,06:00 to 07:00
2048,BTM Layout,85,Tuesday,07:00 to 08:00
2049,BTM Layout,135,Tuesday,08:00 to 09:00
2050,BTM Layout,114,Tuesday,09:00 to 10:00
2051,BTM Layout,102,Tuesday,10:00 to 11:00
2052,BTM Layout,122,Tuesday,11:00 to 12:00
2053,BTM Layout,93,Tuesday,12:00 to 13:00
2054,BTM Layout,109,Tuesday,13:00 to 14:00
2055,BTM Layout,71,Tuesday,14:00 to 15:00
2056,BTM Layout,88,Tuesday,15:00 to 16:00
2057,BTM Layout,127,Tuesday,16:00 to 17:00
2058,BTM Layout,133,Tuesday,17:00 to 18:00
2059,BTM Layout,120,Tuesday,18:00 to 19:00
2060,BTM Layout,134,Tuesday,19:00 to 20:00
2061,BTM Layout,101,Tuesday,20:00 to 21:00
2062,BTM Layout,109,Tuesday,21:00 to 22:00
2063,BTM Layout,74,Tuesday,22:00 to 23:00
2064,BTM Layout,77,Tuesday,23:00 to 00:00
2065,BTM Layout,66,Wednesday,00:00 to 01:00
2066,BTM Layout,79,Wednesday,01:00 to 02:00
2067,BTM Layout,64,Wednesday,02:00 to 03:00
2068,BTM Layout,69,Wednesday,03:00 to 04:00
2069,BTM Layout,72,Wednesday,04:00 to 05:00
2070,BTM Layout,124,Wednesday,05:00 to 06:00
2071,BTM Layout,78,Wednesday,06:00 to 07:00
2072,BTM Layout,130,Wednesday,07:00 to 08:00
2073,BTM Layout,107,Wednesday,08:00 to 09:00
2074,BTM Layout,108,Wednesday,09:00 to 10:00
2075,BTM Layout,135,Wednesday,10:00 to 11:00
2076,BTM Layout,116,Wednesday,11:00 to 12:00
2077,BTM Layout,73,Wednesday,12:00 to 13:00
2078,BTM Layout,91,Wednesday,13:00 to 14:00
2079,BTM Layout,96,Wednesday,14:00 to 15:00
2080,BTM Layout,71,Wednesday,15:00 to 16:00
2081,BTM Layout,73,Wednesday,16:00 to 17:00
2082,BTM Layout,120,Wednesday,17:00 to 18:00
2083,BTM Layout,155,Wednesday,18:00 to 19:00
2084,BTM Layout,159,Wednesday,19:00 to 20:00
2085,BTM Layout,80,Wednesday,20:00 to 21:00
2086,BTM Layout,105,Wednesday,21:00 to 22:00
2087,BTM Layout,76,Wednesday,22:00 to 23:00
2088,BTM Layout,126,Wednesday,23:00 to 00:00
2089,BTM Layout,60,Thursday,00:00 to 01:00
2090,BTM Layout,75,Thursday,01:00 to 02:00
2091,BTM Layout,80,Thursday,02:00 to 03:00
2092,BTM Layout,66,Thursday,03:00 to 04:00
2093,BTM Layout,87,Thursday,04:00 to 05:00
2094,BTM Layout,129,Thursday,05:00 to 06:00
2095,BTM Layout,123,Thursday,06:00 to 07:00
2096,BTM Layout,74,Thursday,07:00 to 08:00
2097,BTM Layout,145,Thursday,08:00 to 09:00
2098,BTM Layout,119,Thursday,09:00 to 10:00
2099,BTM Layout,136,Thursday,10:00 to 11:00
2100,BTM Layout,75,Thursday,11:00 to 12:00
2101,BTM Layout,87,Thursday,12:00 to 13:00
2102,BTM Layout,102,Thursday,13:00 to 14:00
2103,BTM Layout,125,Thursday,14:00 to 15:00
2104,BTM Layout,106,Thursday,15:00 to 16:00
2105,BTM Layout,81,Thursday,16:00 to 17:00
2106,BTM Layout,142,Thursday,17:00 to 18:00
2107,BTM Layout,114,Thursday,18:00 to 19:00
2108,BTM Layout,162,Thursday,19:00 to 20:00
2109,BTM Layout,104,Thursday,20:00 to 21:00
2110,BTM Layout,87,Thursday,21:00 to 22:00
2111,BTM Layout,101,Thursday,22:00 to 23:00
2112,BTM Layout,101,Thursday,23:00 to 00:00
2113,BTM Layout,69,Friday,00:00 to 01:00
2114,BTM Layout,82,Friday,01:00 to 02:00
2115,BTM Layout,51,Friday,02:00 to 03:00
2116,BTM Layout,71,Friday,03:00 to 04:00
2117,BTM Layout,59,Friday,04:00 to 05:00
2118,BTM Layout,116,Friday,05:00 to 06:00
2119,BTM Layout,122,Friday,06:00 to 07:00
2120,BTM Layout,86,Friday,07:00 to 08:00
2121,BTM Layout,123,Friday,08:00 to 09:00
2122,BTM Layout,129,Friday,09:00 to 10:00
2123,BTM Layout,106,Friday,10:00 to 11:00
2124,BTM Layout,113,Friday,11:00 to 12:00
2125,BTM Layout,82,Friday,12:00 to 13:00
2126,BTM Layout,91,Friday,13:00 to 14:00
2127,BTM Layout,89,Friday,14:00 to 15:00
2128,BTM Layout,124,Friday,15:00 to 16:00
2129,BTM Layout,81,Friday,16:00 to 17:00
2130,BTM Layout,164,Friday,17:00 to 18:00
2131,BTM Layout,119,Friday,18:00 to 19:00
2132,BTM Layout,130,Friday,19:00 to 20:00
2133,BTM Layout,118,Friday,20:00 to 21:00
2134,BTM Layout,82,Friday,21:00 to 22:00
2135,BTM Layout,79,Friday,22:00 to 23:00
2136,BTM Layout,118,Friday,23:00 to 00:00
2137,BTM Layout,90,Saturday,00:00 to 01:00
2138,BTM Layout,103,Saturday,01:00 to 02:00
2139,BTM Layout,137,Saturday,02:00 to 03:00
2140,BTM Layout,95,Saturday,03:00 to 04:00
2141,BTM Layout,102,Saturday,04:00 to 05:00
2142,BTM Layout,80,Saturday,05:00 to 06:00
2143,BTM Layout,75,Saturday,06:00 to 07:00
2144,BTM Layout,72,Saturday,07:00 to 08:00
2145,BTM Layout,88,Saturday,08:00 to 09:00
2146,BTM Layout,102,Saturday,09:00 to 10:00
2147,BTM Layout,103,Saturday,10:00 to 11:00
2148,BTM Layout,112,Saturday,11:00 to 12:00
2149,BTM Layout,102,Saturday,12:00 to 13:00
2150,BTM Layout,101,Saturday,13:00 to 14:00
2151,BTM Layout,115,Saturday,14:00 to 15:00
2152,BTM Layout,101,Saturday,15:00 to 16:00
2153,BTM Layout,118,Saturday,16:00 to 17:00
2154,BTM Layout,109,Saturday,17:00 to 18:00
2155,BTM Layout,109,Saturday,18:00 to 19:00
2156,BTM Layout,102,Saturday,19:00 to 20:00
2157,BTM Layout,81,Saturday,20:00 to 21:00
2158,BTM Layout,73,Saturday,21:00 to 22:00
2159,BTM Layout,146,Saturday,22:00 to 23:00
2160,BTM Layout,103,Saturday,23:00 to 00:00
2161,BTM Layout,93,Sunday,00:00 to 01:00
2162,BTM Layout,116,Sunday,01:00 to 02:00
2163,BTM Layout,109,Sunday,02:00 to 03:00
2164,BTM Layout,68,Sunday,03:00 to 04:00
2165,BTM Layout,80,Sunday,04:00 to 05:00
2166,BTM Layout,99,Sunday,05:00 to 06:00
2167,BTM Layout,65,Sunday,06:00 to 07:00
2168,BTM Layout,83,Sunday,07:00 to 08:00
2169,BTM Layout,106,Sunday,08:00 to 09:00
2170,BTM Layout,89,Sunday,09:00 to 10:00
2171,BTM Layout,126,Sunday,10:00 to 11:00
2172,BTM Layout,98,Sunday,11:00 to 12:00
2173,BTM Layout,128,Sunday,12:00 to 13:00
2174,BTM Layout,105,Sunday,13:00 to 14:00
2175,BTM Layout,81,Sunday,14:00 to 15:00
2176,BTM Layout,128,Sunday,15:00 to 16:00
2177,BTM Layout,105,Sunday,16:00 to 17:00
2178,BTM Layout,128,Sunday,17:00 to 18:00
2179,BTM Layout,103,Sunday,18:00 to 19:00
2180,BTM Layout,70,Sunday,19:00 to 20:00
2181,BTM Layout,102,Sunday,20:00 to 21:00
2182,BTM Layout,63,Sunday,21:00 to 22:00
2183,BTM Layout,120,Sunday,22:00 to 23:00
2184,BTM Layout,138,Sunday,23:00 to 00:00
2185,Koramangala,72,Monday,00:00 to 01:00
2186,Koramangala,56,Monday,01:00 to 02:00
2187,Koramangala,81,Monday,02:00 to 03:00
2188,Koramangala,60,Monday,03:00 to 04:00
2189,Koramangala,66,Monday,04:00 to 05:00
2190,Koramangala,92,Monday,05:00 to 06:00
2191,Koramangala,110,Monday,06:00 to 07:00
2192,Koramangala,94,Monday,07:00 to 08:00
2193,Koramangala,140,Monday,08:00 to 09:00
2194,Koramangala,155,Monday,09:00 to 10:00
2195,Koramangala,110,Monday,10:00 to 11:00
2196,Koramangala,93,Monday,11:00 to 12:00
2197,Koramangala,105,Monday,12:00 to 13:00
2198,Koramangala,110,Monday,13:00 to 14:00
2199,Koramangala,125,Monday,14:00 to 15:00
2200,Koramangala,118,Monday,15:00 to 16:00
2201,Koramangala,106,Monday,16:00 to 17:00
2202,Koramangala,138,Monday,17:00 to 18:00
2203,Koramangala,121,Monday,18:00 to 19:00
2204,Koramangala,168,Monday,19:00 to 20:00
2205,Koramangala,72,Monday,20:00 to 21:00
2206,Koramangala,95,Monday,21:00 to 22:00
2207,Koramangala,85,Monday,22:00 to 23:00
2208,Koramangala,102,Monday,23:00 to 00:00
2209,Koramangala,81,Tuesday,00:00 to 01:00
2210,Koramangala,50,Tuesday,01:00 to 02:00
2211,Koramangala,58,Tuesday,02:00 to 03:00
2212,Koramangala,89,Tuesday,03:00 to 04:00
2213,Koramangala,69,Tuesday,04:00 to 05:00
2214,Koramangala,98,Tuesday,05:00 to 06:00
2215,Koramangala,118,Tuesday,06:00 to 07:00
2216,Koramangala,106,Tuesday,07:00 to 08:00
2217,Koramangala,142,Tuesday,08:00 to 09:00
2218,Koramangala,118,Tuesday,09:00 to 10:00
2219,Koramangala,113,Tuesday,10:00 to 11:00
2220,Koramangala,88,Tuesday,11:00 to 12:00
2221,Koramangala,117,Tuesday,12:00 to 13:00
2222,Koramangala,127,Tuesday,13:00 to 14:00
2223,Koramangala,123,Tuesday,14:00 to 15:00
2224,Koramangala,111,Tuesday,15:00 to 16:00
2225,Koramangala,116,Tuesday,16:00 to 17:00
2226,Koramangala,153,Tuesday,17:00 to 18:00
2227,Koramangala,115,Tuesday,18:00 to 19:00
2228,Koramangala,168,Tuesday,19:00 to 20:00
2229,Koramangala,129,Tuesday,20:00 to 21:00
2230,Koramangala,97,Tuesday,21:00 to 22:00
2231,Koramangala,76,Tuesday,22:00 to 23:00
2232,Koramangala,114,Tuesday,23:00 to 00:00
2233,Koramangala,61,Wednesday,00:00 to 01:00
2234,Koramangala,66,Wednesday,01:00 to 02:00
2235,Koramangala,58,Wednesday,02:00 to 03:00
2236,Koramangala,63,Wednesday,03:00 to 04:00
2237,Koramangala,52,Wednesday,04:00 to 05:00
2238,Koramangala,95,Wednesday,05:00 to 06:00
2239,Koramangala,128,Wednesday,06:00 to 07:00
2240,Koramangala,123,Wednesday,07:00 to 08:00
2241,Koramangala,105,Wednesday,08:00 to 09:00
2242,Koramangala,134,Wednesday,09:00 to 10:00
2243,Koramangala,135,Wednesday,10:00 to 11:00
2244,Koramangala,130,Wednesday,11:00 to 12:00
2245,Koramangala,89,Wednesday,12:00 to 13:00
2246,Koramangala,81,Wednesday,13:00 to 14:00
2247,Koramangala,126,Wednesday,14:00 to 15:00
2248,Koramangala,104,Wednesday,15:00 to 16:00
2249,Koramangala,107,Wednesday,16:00 to 17:00
2250,Koramangala,127,Wednesday,17:00 to 18:00
2251,Koramangala,138,Wednesday,18:00 to 19:00
2252,Koramangala,156,Wednesday,19:00 to 20:00
2253,Koramangala,124,Wednesday,20:00 to 21:00
2254,Koramangala,101,Wednesday,21:00 to 22:00
2255,Koramangala,70,Wednesday,22:00 to 23:00
2256,Koramangala,98,Wednesday,23:00 to 00:00
2257,Koramangala,86,Thursday,00:00 to 01:00
2258,Koramangala,57,Thursday,01:00 to 02:00
2259,Koramangala,78,Thursday,02:00 to 03:00
2260,Koramangala,84,Thursday,03:00 to 04:00
2261,Koramangala,62,Thursday,04:00 to 05:00
2262,Koramangala,125,Thursday,05:00 to 06:00
2263,Koramangala,77,Thursday,06:00 to 07:00
2264,Koramangala,110,Thursday,07:00 to 08:00
2265,Koramangala,101,Thursday,08:00 to 09:00
2266,Koramangala,131,Thursday,09:00 to 10:00
2267,Koramangala,144,Thursday,10:00 to 11:00
2268,Koramangala,108,Thursday,11:00 to 12:00
2269,Koramangala,108,Thursday,12:00 to 13:00
2270,Koramangala,75,Thursday,13:00 to 14:00
2271,Koramangala,130,Thursday,14:00 to 15:00
2272,Koramangala,98,Thursday,15:00 to 16:00
2273,Koramangala,116,Thursday,16:00 to 17:00
2274,Koramangala,146,Thursday,17:00 to 18:00
2275,Koramangala,142,Thursday,18:00 to 19:00
2276,Koramangala,118,Thursday,19:00 to 20:00
2277,Koramangala,111,Thursday,20:00 to 21:00
2278,Koramangala,84,Thursday,21:00 to 22:00
2279,Koramangala,121,Thursday,22:00 to 23:00
2280,Koramangala,107,Thursday,23:00 to 00:00
2281,Koramangala,51,Friday,00:00 to 01:00
2282,Koramangala,90,Friday,01:00 to 02:00
2283,Koramangala,78,Friday,02:00 to 03:00
2284,Koramangala,59,Friday,03:00 to 04:00
2285,Koramangala,77,Friday,04:00 to 05:00
2286,Koramangala,120,Friday,05:00 to 06:00
2287,Koramangala,123,Friday,06:00 to 07:00
2288,Koramangala,106,Friday,07:00 to 08:00
2289,Koramangala,156,Friday,08:00 to 09:00
2290,Koramangala,150,Friday,09:00 to 10:00
2291,Koramangala,107,Friday,10:00 to 11:00
2292,Koramangala,74,Friday,11:00 to 12:00
2293,Koramangala,99,Friday,12:00 to 13:00
2294,Koramangala,70,Friday,13:00 to 14:00
2295,Koramangala,89,Friday,14:00 to 15:00
2296,Koramangala,96,Friday,15:00 to 16:00
2297,Koramangala,106,Friday,16:00 to 17:00
2298,Koramangala,155,Friday,17:00 to 18:00
2299,Koramangala,113,Friday,18:00 to 19:00
2300,Koramangala,154,Friday,19:00 to 20:00
2301,Koramangala,86,Friday,20:00 to 21:00
2302,Koramangala,99,Friday,21:00 to 22:00
2303,Koramangala,93,Friday,22:00 to 23:00
2304,Koramangala,88,Friday,23:00 to 00:00
2305,Koramangala,92,Saturday,00:00 to 01:00
2306,Koramangala,142,Saturday,01:00 to 02:00
2307,Koramangala,126,Saturday,02:00 to 03:00
2308,Koramangala,65,Saturday,03:00 to 04:00
2309,Koramangala,104,Saturday,04:00 to 05:00
2310,Koramangala,76,Saturday,05:00 to 06:00
2311,Koramangala,64,Saturday,06:00 to 07:00
2312,Koramangala,77,Saturday,07:00 to 08:00
2313,Koramangala,99,Saturday,08:00 to 09:00
2314,Koramangala,96,Saturday,09:00 to 10:00
2315,Koramangala,116,Saturday,10:00 to 11:00
2316,Koramangala,121,Saturday,11:00 to 12:00
2317,Koramangala,81,Saturday,12:00 to 13:00
2318,Koramangala,117,Saturday,13:00 to 14:00
2319,Koramangala,87,Saturday,14:00 to 15:00
2320,Koramangala,117,Saturday,15:00 to 16:00
2321,Koramangala,81,Saturday,16:00 to 17:00
2322,Koramangala,101,Saturday,17:00 to 18:00
2323,Koramangala,127,Saturday,18:00 to 19:00
2324,Koramangala,102,Saturday,19:00 to 20:00
2325,Koramangala,99,Saturday,20:00 to 21:00
2326,Koramangala,105,Saturday,21:00 to 22:00
2327,Koramangala,147,Saturday,22:00 to 23:00
2328,Koramangala,125,Saturday,23:00 to 00:00
2329,Koramangala,99,Sunday,00:00 to 01:00
2330,Koramangala,127,Sunday,01:00 to 02:00
2331,Koramangala,101,Sunday,02:00 to 03:00
2332,Koramangala,60,Sunday,03:00 to 04:00
2333,Koramangala,109,Sunday,04:00 to 05:00
2334,Koramangala,92,Sunday,05:00 to 06:00
2335,Koramangala,105,Sunday,06:00 to 07:00
2336,Koramangala,99,Sunday,07:00 to 08:00
2337,Koramangala,71,Sunday,08:00 to 09:00
2338,Koramangala,83,Sunday,09:00 to 10:00
2339,Koramangala,124,Sunday,10:00 to 11:00
2340,Koramangala,84,Sunday,11:00 to 12:00
2341,Koramangala,112,Sunday,12:00 to 13:00
2342,Koramangala,129,Sunday,13:00 to 14:00
2343,Koramangala,128,Sunday,14:00 to 15:00
2344,Koramangala,90,Sunday,15:00 to 16:00
2345,Koramangala,112,Sunday,16:00 to 17:00
2346,Koramangala,128,Sunday,17:00 to 18:00
2347,Koramangala,83,Sunday,18:00 to 19:00
2348,Koramangala,104,Sunday,19:00 to 20:00
2349,Koramangala,83,Sunday,20:00 to 21:00
2350,Koramangala,70,Sunday,21:00 to 22:00
2351,Koramangala,102,Sunday,22:00 to 23:00
2352,Koramangala,123,Sunday,23:00 to 00:00
2353,HSR Layout,51,Monday,00:00 to 01:00
2354,HSR Layout,53,Monday,01:00 to 02:00
2355,HSR Layout,90,Monday,02:00 to 03:00
2356,HSR Layout,64,Monday,03:00 to 04:00
2357,HSR Layout,69,Monday,04:00 to 05:00
2358,HSR Layout,108,Monday,05:00 to 06:00
2359,HSR Layout,105,Monday,06:00 to 07:00
2360,HSR Layout,113,Monday,07:00 to 08:00
2361,HSR Layout,110,Monday,08:00 to 09:00
2362,HSR Layout,129,Monday,09:00 to 10:00
2363,HSR Layout,136,Monday,10:00 to 11:00
2364,HSR Layout,129,Monday,11:00 to 12:00
2365,HSR Layout,126,Monday,12:00 to 13:00
2366,HSR Layout,124,Monday,13:00 to 14:00
2367,HSR Layout,88,Monday,14:00 to 15:00
2368,HSR Layout,89,Monday,15:00 to 16:00
2369,HSR Layout,79,Monday,16:00 to 17:00
2370,HSR Layout,126,Monday,17:00 to 18:00
2371,HSR Layout,142,Monday,18:00 to 19:00
2372,HSR Layout,165,Monday,19:00 to 20:00
2373,HSR Layout,98,Monday,20:00 to 21:00
2374,HSR Layout,83,Monday,21:00 to 22:00
2375,HSR Layout,77,Monday,22:00 to 23:00
2376,HSR Layout,85,Monday,23:00 to 00:00
2377,HSR Layout,78,Tuesday,00:00 to 01:00
2378,HSR Layout,60,Tuesday,01:00 to 02:00
2379,HSR Layout,73,Tuesday,02:00 to 03:00
2380,HSR Layout,88,Tuesday,03:00 to 04:00
2381,HSR Layout,83,Tuesday,04:00 to 05:00
2382,HSR Layout,116,Tuesday,05:00 to 06:00
2383,HSR Layout,77,Tuesday,06:00 to 07:00
2384,HSR Layout,82,Tuesday,07:00 to 08:00
2385,HSR Layout,137,Tuesday,08:00 to 09:00
2386,HSR Layout,133,Tuesday,09:00 to 10:00
2387,HSR Layout,158,Tuesday,10:00 to 11:00
2388,HSR Layout,97,Tuesday,11:00 to 12:00
2389,HSR Layout,74,Tuesday,12:00 to 13:00
2390,HSR Layout,120,Tuesday,13:00 to 14:00
2391,HSR Layout,90,Tuesday,14:00 to 15:00
2392,HSR Layout,83,Tuesday,15:00 to 16:00
2393,HSR Layout,121,Tuesday,16:00 to 17:00
2394,HSR Layout,169,Tuesday,17:00 to 18:00
2395,HSR Layout,129,Tuesday,18:00 to 19:00
2396,HSR Layout,119,Tuesday,19:00 to 20:00
2397,HSR Layout,91,Tuesday,20:00 to 21:00
2398,HSR Layout,107,Tuesday,21:00 to 22:00
2399,HSR Layout,89,Tuesday,22:00 to 23:00
2400,HSR Layout,92,Tuesday,23:00 to 00:00
2401,HSR Layout,81,Wednesday,00:00 to 01:00
2402,HSR Layout,74,Wednesday,01:00 to 02:00
2403,HSR Layout,60,Wednesday,02:00 to 03:00
2404,HSR Layout,71,Wednesday,03:00 to 04:00
2405,HSR Layout,77,Wednesday,04:00 to 05:00
2406,HSR Layout,117,Wednesday,05:00 to 06:00
2407,HSR Layout,87,Wednesday,06:00 to 07:00
2408,HSR Layout,92,Wednesday,07:00 to 08:00
2409,HSR Layout,107,Wednesday,08:00 to 09:00
2410,HSR Layout,144,Wednesday,09:00 to 10:00
2411,HSR Layout,111,Wednesday,10:00 to 11:00
2412,HSR Layout,82,Wednesday,11:00 to 12:00
2413,HSR Layout,122,Wednesday,12:00 to 13:00
2414,HSR Layout,119,Wednesday,13:00 to 14:00
2415,HSR Layout,97,Wednesday,14:00 to 15:00
2416,HSR Layout,125,Wednesday,15:00 to 16:00
2417,HSR Layout,73,Wednesday,16:00 to 17:00
2418,HSR Layout,156,Wednesday,17:00 to 18:00
2419,HSR Layout,143,Wednesday,18:00 to 19:00
2420,HSR Layout,126,Wednesday,19:00 to 20:00
2421,HSR Layout,110,Wednesday,20:00 to 21:00
2422,HSR Layout,116,Wednesday,21:00 to 22:00
2423,HSR Layout,125,Wednesday,22:00 to 23:00
2424,HSR Layout,83,Wednesday,23:00 to 00:00
2425,HSR Layout,73,Thursday,00:00 to 01:00
2426,HSR Layout,50,Thursday,01:00 to 02:00
2427,HSR Layout,62,Thursday,02:00 to 03:00
2428,HSR Layout,59,Thursday,03:00 to 04:00
2429,HSR Layout,60,Thursday,04:00 to 05:00
2430,HSR Layout,125,Thursday,05:00 to 06:00
2431,HSR Layout,85,Thursday,06:00 to 07:00
2432,HSR Layout,126,Thursday,07:00 to 08:00
2433,HSR Layout,146,Thursday,08:00 to 09:00
2434,HSR Layout,117,Thursday,09:00 to 10:00
2435,HSR Layout,119,Thursday,10:00 to 11:00
2436,HSR Layout,98,Thursday,11:00 to 12:00
2437,HSR Layout,109,Thursday,12:00 to 13:00
2438,HSR Layout,129,Thursday,13:00 to 14:00
2439,HSR Layout,94,Thursday,14:00 to 15:00
2440,HSR Layout,92,Thursday,15:00 to 16:00
2441,HSR Layout,100,Thursday,16:00 to 17:00
2442,HSR Layout,123,Thursday,17:00 to 18:00
2443,HSR Layout,136,Thursday,18:00 to 19:00
2444,HSR Layout,115,Thursday,19:00 to 20:00
2445,HSR Layout,90,Thursday,20:00 to 21:00
2446,HSR Layout,112,Thursday,21:00 to 22:00
2447,HSR Layout,79,Thursday,22:00 to 23:00
2448,HSR Layout,100,Thursday,23:00 to 00:00
2449,HSR Layout,76,Friday,00:00 to 01:00
2450,HSR Layout,81,Friday,01:00 to 02:00
2451,HSR Layout,59,Friday,02:00 to 03:00
2452,HSR Layout,80,Friday,03:00 to 04:00
2453,HSR Layout,89,Friday,04:00 to 05:00
2454,HSR Layout,105,Friday,05:00 to 06:00
2455,HSR Layout,101,Friday,06:00 to 07:00
2456,HSR Layout,102,Friday,07:00 to 08:00
2457,HSR Layout,119,Friday,08:00 to 09:00
2458,HSR Layout,133,Friday,09:00 to 10:00
2459,HSR Layout,141,Friday,10:00 to 11:00
2460,HSR Layout,86,Friday,11:00 to 12:00
2461,HSR Layout,94,Friday,12:00 to 13:00
2462,HSR Layout,93,Friday,13:00 to 14:00
2463,HSR Layout,98,Friday,14:00 to 15:00
2464,HSR Layout,111,Friday,15:00 to 16:00
2465,HSR Layout,124,Friday,16:00 to 17:00
2466,HSR Layout,131,Friday,17:00 to 18:00
2467,HSR Layout,131,Friday,18:00 to 19:00
2468,HSR Layout,142,Friday,19:00 to 20:00
2469,HSR Layout,109,Friday,20:00 to 21:00
2470,HSR Layout,118,Friday,21:00 to 22:00
2471,HSR Layout,97,Friday,22:00 to 23:00
2472,HSR Layout,96,Friday,23:00 to 00:00
2473,HSR Layout,113,Saturday,00:00 to 01:00
2474,HSR Layout,108,Saturday,01:00 to 02:00
2475,HSR Layout,118,Saturday,02:00 to 03:00
2476,HSR Layout,77,Saturday,03:00 to 04:00
2477,HSR Layout,101,Saturday,04:00 to 05:00
2478,HSR Layout,82,Saturday,05:00 to 06:00
2479,HSR Layout,61,Saturday,06:00 to 07:00
2480,HSR Layout,66,Saturday,07:00 to 08:00
2481,HSR Layout,74,Saturday,08:00 to 09:00
2482,HSR Layout,101,Saturday,09:00 to 10:00
2483,HSR Layout,127,Saturday,10:00 to 11:00
2484,HSR Layout,126,Saturday,11:00 to 12:00
2485,HSR Layout,97,Saturday,12:00 to 13:00
2486,HSR Layout,86,Saturday,13:00 to 14:00
2487,HSR Layout,96,Saturday,14:00 to 15:00
2488,HSR Layout,123,Saturday,15:00 to 16:00
2489,HSR Layout,101,Saturday,16:00 to 17:00
2490,HSR Layout,95,Saturday,17:00 to 18:00
2491,HSR Layout,122,Saturday,18:00 to 19:00
